"vintage_sheet","vintage_date","date","forecast_horizon","food_at","services","core_gds","food_at_qoq_fc","services_qoq_fc","core_gds_qoq_fc","food_at_yoy","services_yoy","core_gds_yoy","energy_yoy","MPR_cpi","c_f","c_s","c_e","c_cg","encont_f","cpi_bottom_up","cpi_resid","c_cg_r"
"N24",2024 Q4,2026 Q1,5,144.043774026322,145.198828841087,121.457199979735,0.804862165214493,0.970321424889118,-0.0990426383369349,2.47542663548668,3.7575036478346,-0.194273443722892,1.25621259115762,2.54785123403591,0.362408070402291,1.94688738906422,0.0732932211460551,-0.0538370437729249,-0.144238549313976,2.11121986637961,0.436631367656308,0.382794323883383
"N24",2024 Q4,2026 Q2,6,145.278406309351,146.752098550308,121.332294018465,0.857122976244173,1.0697536072566,-0.10283948690649,3.01776144689487,3.90508190550722,-0.335139877821167,7.80967285182115,2.35970095141962,0.442919563546063,2.0242640300793,0.455701439609331,-0.0926700638401353,0.00899781686400036,2.38351134664923,-0.0238103952296096,-0.116480459069745
"N24",2024 Q4,2026 Q3,7,146.892313917374,148.368631551701,121.204271245975,1.11090674039073,1.10153995572243,-0.105514177841382,3.57938303286538,4.06614400823626,-0.395317365633474,10.0387629229179,2.30152944477178,0.525349269178381,2.1077532446598,0.585770851438893,-0.109309837279097,0.0292771947317772,2.55306987129086,-0.251540426519087,-0.360850263798184
"N24",2024 Q4,2026 Q4,8,148.434121502959,149.944414562066,121.077509214858,1.04961760385352,1.06207288824073,-0.104585448857411,3.80403981452702,4.18170596999925,-0.41219418179459,7.2858092166264,2.17327958523788,0.558322347213963,2.16765670586821,0.425133525018446,-0.113976472718713,0.0109412376908473,2.62294381805431,-0.449664232816436,-0.563640705535149
"N24",2024 Q4,2027 Q1,9,149.744305376234,151.442098464473,120.96408968377,0.88267027824119,0.99882606950132,-0.0936751439825213,3.88119690593873,4.20993270180965,-0.406821510392241,5.87843874109817,2.07803370367348,0.568216024409085,2.18130590257328,0.342975156973876,-0.112738349838464,0.0105077160415999,2.6472912931855,-0.569257589512024,-0.681995939350488
"N24",2024 Q4,2027 Q2,10,151.224172946884,152.856243634737,120.865899897075,0.988263004013493,0.933786037437711,-0.0811726744292961,4.01113799484154,4.07531368415111,-0.385134744686955,-1.54374290160044,1.89294512184768,0.588718333527088,2.11250649838688,-0.0900787876769973,-0.106494224468981,-0.0796473859103135,2.51508322153468,-0.622138099686997,-0.728632324155979
"N24",2024 Q4,2027 Q3,11,152.152473050636,154.194407660567,120.781229271066,0.613856955315004,0.875439559425541,-0.0700533616852755,3.5183370299178,3.85142629729662,-0.349642771966963,-4.19235655515831,1.87106944304496,0.516389492384362,1.99645075488024,-0.244627778114387,-0.09668028230502,-0.0513227888058908,2.36483717615369,-0.493767733108732,-0.590448015413751
"N24",2024 Q4,2027 Q4,12,152.742485056781,155.477742996477,120.707350184044,0.387776809877398,0.832283968907146,-0.0611676892744655,2.86121656083624,3.62379336873451,-0.306188998704471,-3.96754661922989,1.83286885814979,0.41994332972884,1.87845344765345,-0.231509916024021,-0.0846648099341712,-0.0791900007450213,2.1345419667031,-0.301673108553306,-0.386337918487477
"F25",2025 Q1,2025 Q1,0,141.959372429594,140.235404824045,122.315969497498,0.93136827606085,1.08139564319704,0.299565615818046,3.06610403752643,4.7283793310152,1.15231967062721,-7.68668571440143,2.77816226061542,0.461581726562956,2.36843716866065,-0.471980182241391,0.330895507338627,0.06491719027,3.22583159283223,-0.447669332216809,-0.116773824878182
"F25",2025 Q1,2025 Q2,1,142.727129219888,141.663914969061,122.559480916126,0.540828532244503,1.01865156435233,0.199083913268214,3.2652896246316,4.2219105457824,1.29445083282782,-0.859145024344254,3.45477944283008,0.493543955357591,2.11448225696115,-0.052968610442389,0.370683212176323,0.14246817175,3.12117759624506,0.333601846585018,0.704285058761341
