"vintage_date","value","frequency","forecast_horizon","variable","source","date"
"2026  Q1",-0.0398751983845129,"Q",11,"Core goods inflation","OLS-FixedCoeff","2028  Q4"
"2026  Q1",-0.0406591869348683,"Q",12,"Core goods inflation","OLS-FixedCoeff","2029  Q1"
"2026  Q2",0.172059014878383,"Q",0,"Core goods inflation","OLS-FixedCoeff","2026  Q2"
"2026  Q2",0.122572131201047,"Q",1,"Core goods inflation","OLS-FixedCoeff","2026  Q3"
"2026  Q2",0.24852134229488,"Q",2,"Core goods inflation","OLS-FixedCoeff","2026  Q4"
"2026  Q2",0.177289223590266,"Q",3,"Core goods inflation","OLS-FixedCoeff","2027  Q1"
"2026  Q2",0.0881391549701987,"Q",4,"Core goods inflation","OLS-FixedCoeff","2027  Q2"
"2026  Q2",0.0410261589629158,"Q",5,"Core goods inflation","OLS-FixedCoeff","2027  Q3"
"2026  Q2",0.0127041024748897,"Q",6,"Core goods inflation","OLS-FixedCoeff","2027  Q4"
"2026  Q2",-0.00524232274572521,"Q",7,"Core goods inflation","OLS-FixedCoeff","2028  Q1"
"2026  Q2",-0.0184865996909172,"Q",8,"Core goods inflation","OLS-FixedCoeff","2028  Q2"
"2026  Q2",-0.0268329977674051,"Q",9,"Core goods inflation","OLS-FixedCoeff","2028  Q3"
"2026  Q2",-0.032867712986441,"Q",10,"Core goods inflation","OLS-FixedCoeff","2028  Q4"
"2026  Q2",-0.0368723500017505,"Q",11,"Core goods inflation","OLS-FixedCoeff","2029  Q1"
"2026  Q2",-0.0392743319555113,"Q",12,"Core goods inflation","OLS-FixedCoeff","2029  Q2"
