"vintage_date","value","frequency","forecast_horizon","variable","source","date"
"2026  Q1",0.778737469852376,"Q",12,"Services inflation","OLS-FixedCoeff","2029  Q1"
"2026  Q2",1.2532780381237,"Q",0,"Services inflation","OLS-FixedCoeff","2026  Q2"
"2026  Q2",1.19799850021165,"Q",1,"Services inflation","OLS-FixedCoeff","2026  Q3"
"2026  Q2",1.07900426723249,"Q",2,"Services inflation","OLS-FixedCoeff","2026  Q4"
"2026  Q2",0.989406800515514,"Q",3,"Services inflation","OLS-FixedCoeff","2027  Q1"
"2026  Q2",0.916959711148015,"Q",4,"Services inflation","OLS-FixedCoeff","2027  Q2"
"2026  Q2",0.859104236221473,"Q",5,"Services inflation","OLS-FixedCoeff","2027  Q3"
"2026  Q2",0.816684980858449,"Q",6,"Services inflation","OLS-FixedCoeff","2027  Q4"
"2026  Q2",0.791580595581072,"Q",7,"Services inflation","OLS-FixedCoeff","2028  Q1"
"2026  Q2",0.779327104269382,"Q",8,"Services inflation","OLS-FixedCoeff","2028  Q2"
"2026  Q2",0.772296681068511,"Q",9,"Services inflation","OLS-FixedCoeff","2028  Q3"
"2026  Q2",0.771107019347815,"Q",10,"Services inflation","OLS-FixedCoeff","2028  Q4"
"2026  Q2",0.774792962677232,"Q",11,"Services inflation","OLS-FixedCoeff","2029  Q1"
"2026  Q2",0.784968556753825,"Q",12,"Services inflation","OLS-FixedCoeff","2029  Q2"
